,element,U_ss,U_pp,zeta_s,zeta_p,beta_s,beta_p,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_sh,alpha_ph,fval1,fval2,gval1,gval2,z_sc,f_sc,b_sc,a_sc,eisol,hyf,g_ss,g_sp,g_pp,g_p2,h_sp,dd,qq,am,ad,aq,c61,r01,c62,r02
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,H,-12.45828647,0.00000000,1.25906452,0.00000000,-3.40064659,0.00000000,0.00000000,-3.40064659,0.00000000,0.06931667,0.00000000,0.00000000,0.06931667,0.00000000,0.25393975,0.00000000,0.35600772,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-12.45828647,0.00000000,12.8480000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4721793,0.4721793,0.4721793,0.13699517,0.09359344,0.14146973,0.10158635
2,He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,-50.55997310,-39.60463506,1.27811536,1.27811536,-7.15007507,-4.00965991,-5.63958651,-6.19914817,-4.23218526,0.09197146,0.05274021,0.09864674,0.10023679,0.05492720,0.41151269,0.00000000,0.10398816,0.00000000,5.70000000,-283.81699000,-22.48815939,0.15323932,-117.85921632,3.76845483,12.2300000,11.4700000,11.0800000,9.8400000,2.4300000,0.6927013,0.6061754,0.4494671,0.6694531,0.7269880,1.76051239,0.14369850,1.75148586,0.15275442
7,N,-75.98413465,-57.38630489,1.30965521,1.30965521,-13.42485887,-5.69143961,-8.25767437,-11.40440049,-7.87479008,0.09461210,0.06941595,0.10511596,0.11356707,0.09244486,0.58223498,0.00000000,0.05928617,0.00000000,6.73673665,-380.94261410,-22.78185605,0.15915338,-211.31218397,3.05323762,13.5900000,12.6600000,12.9800000,11.5900000,3.1400000,0.5507329,0.4313662,0.4994487,0.8521126,0.9530874,1.23050050,0.13970000,1.23148586,0.14115458
8,O,-105.79319826,-78.90502490,1.20838191,1.20838191,-14.42839639,-8.77114206,-12.94995697,-13.56403003,-9.42200507,0.12962541,0.09275135,0.16086067,0.14516313,0.10981869,0.55266327,0.00000000,0.06226814,0.00000000,7.74239776,-512.51900000,-26.13251784,0.18281098,-334.59649612,2.85279080,15.4200000,14.4800000,14.5200000,12.9800000,3.9400000,0.5174561,0.3979838,0.5667034,0.9764113,1.0398973,0.70000000,0.13420000,0.70136073,0.13573278
9,F,-120.65477058,-107.50304443,1.20564838,1.20564838,-6.19918959,-13.82075048,-18.96710976,-8.06286638,-13.92380910,0.31128286,0.12448702,0.21596283,0.32623663,0.15497349,1.03522357,0.00000000,0.14035077,0.00000000,8.70367110,-685.41999336,-10.62649349,0.00010713,-464.45476331,2.50824141,16.9200000,17.2500000,16.7100000,14.9100000,4.8300000,0.5106623,0.3932237,0.6218302,1.0805856,1.0999100,0.75000000,0.12870000,0.75000000,0.12870000
